iter	Passed	Remaining
0	0	69
1	1	67
2	1	63
3	2	56
4	2	55
5	3	55
6	4	54
7	4	55
8	5	54
9	5	53
10	6	53
11	7	52
12	7	51
13	8	51
14	9	51
15	9	50
16	10	49
17	10	48
18	11	48
19	11	47
20	12	47
21	13	46
22	13	46
23	14	45
24	15	45
25	15	45
26	16	44
27	17	43
28	17	43
29	18	42
30	18	41
31	19	41
32	19	40
33	20	39
34	21	39
35	21	38
36	22	38
37	22	37
38	23	36
39	24	36
40	24	35
41	24	34
42	25	33
43	25	33
44	26	32
45	27	31
46	27	31
47	28	30
48	28	29
49	29	29
50	29	28
51	30	27
52	30	27
53	31	26
54	31	25
55	32	25
56	33	25
57	34	24
58	34	24
59	35	23
60	35	22
61	36	22
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	41	16
71	41	16
72	42	15
73	42	15
74	43	14
75	43	13
76	44	13
77	44	12
78	45	12
79	45	11
80	46	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	53	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	56	0
